Thể thao,Thể thao_keywords_count
Cup,16.98
Việt Nam,16.10
HLV,16.06
2018,15.19
AFF,13.97
2019,13.50
Asian,12.92
đội tuyển,12.91
người,12.77
cầu thủ,12.43
Mourinho,12.28
Park,12.25
giải,11.95
Hang,11.84
Đức,11.18
bóng đá,11.15
Anh,10.70
vô địch,10.41
nhất,9.93
trận,9.81
