Xã hội,Xã hội_keywords_count
năm,418
người,393
Việt Nam,381
tỉnh,314
tổ chức,287
Hà Nội,281
xe,233
ngày,219
Ngày,215
TP,214
Bộ,201
ở,188
2018,181
Đà Nẵng,177
19/12,168
Nguyễn,165
UBND,164
khiến,157
nước,150
tai nạn,146
