Giáo dục,Giáo dục_keywords_count
học sinh,19.51
trường,15.11
Trường,15.08
Việt Nam,13.94
năm,13.58
giáo viên,13.37
GD,13.28
tỉnh,13.08
Giáo dục,13.04
Bộ,13.01
ĐT,12.82
tổ chức,12.66
Hà Nội,12.21
giáo dục,12.18
sinh viên,12.13
2018,11.84
người,11.77
THPT,11.55
huyện,11.53
Thanh Sơn,11.51
