Thế giới,Thế giới_keywords_count
Nga,21.99
Mỹ,21.61
Syria,17.43
Tổng thống,16.06
Trung Quốc,15.05
người,14.46
cuộc,13.70
ngày,13.70
nước,13.68
năm,12.36
ở,11.73
Anh,11.23
tuyên bố,11.01
Trump,10.66
quân sự,10.53
mới,10.31
Ukraine,10.19
tới,9.88
rút,9.63
khỏi,9.58
