Giải trí,Giải trí_keywords_count
người,10.41
Hoa hậu,10.28
2018,10.03
Việt Nam,9.90
Hen,9.88
Niê,9.53
khiến,8.84
phim,8.35
năm,8.24
nhất,7.93
mình,6.58
mới,6.46
khán giả,6.27
bộ,6.18
Miss,6.10
cô,5.93
chia sẻ,5.91
mạng,5.83
Hoàn vũ,5.75
ngày,5.70
