Giáo dục,Giáo dục_keywords_count
học sinh,619
trường,485
Trường,319
năm,315
GD,287
ĐT,275
thi,264
Bộ,264
ở,245
Việt Nam,242
2018,229
tổ chức,226
giáo viên,225
Giáo dục,220
tỉnh,217
huyện,202
học,200
Hà Nội,199
người,199
giáo dục,193
