Thế giới,Thế giới_keywords_count
Mỹ,917
Nga,762
ở,465
Syria,396
Tổng thống,389
nước,376
ngày,317
cuộc,314
Trung Quốc,306
người,299
năm,256
mới,200
tuyên bố,192
Trump,178
quân sự,177
tới,168
khỏi,167
rút,155
Anh,153
tên lửa,151
