Xã hội,Xã hội_keywords_count
năm,17.34
Việt Nam,16.78
người,15.65
tỉnh,14.44
Hà Nội,13.23
tổ chức,13.14
Ngày,11.33
Đà Nẵng,11.07
UBND,10.38
ngày,10.11
TP,9.97
xe,9.95
Nguyễn,9.91
Bộ,9.73
Ủy,9.59
khiến,9.43
tai nạn,9.30
19/12,9.23
2018,8.69
thành phố,8.65
